Country,ISO code,Period,Reference ,,Total fertility,Age-specific fertility rates,,,,,,,Mean age at childbearing ,Source type,Source,Survey name,Note on country or population,Note on age,Note on methods,Note on population data used in denominator,
"China, Macao SAR",446,Around 1985,1985,,2,8,105,188,132,35,6,1,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
"China, Macao SAR",446,Around 1995,1995,,1,8,56,98,75,28,6,0,29,Registration,UNSD,,,,,,
"China, Macao SAR",446,Around 2005,2005,,0,3,28,58,61,28,4,0,30,Registration,UNSD,,,,,,
"China, Macao SAR",446,Latest,2010,,1,3,35,74,63,31,6,0,29,Registration,UNSD,,,,,,
Colombia,170,Around 1970,1973,1972-1973,4,65,207,213,183,145,72,24,30,Census,National statistics,,,,,,
Colombia,170,Around 1985,1985,1983-1986,3,73,177,160,118,77,28,7,28,Survey,DHS,Colombia 1986 Demographic and Health Survey,,,,,
Colombia,170,Around 1995,1993,1992-1995,2,89,173,148,101,56,24,2,27,Survey,DHS,Colombia 1995 Demographic and Health Survey,,,,,
Colombia,170,Around 2005,2003,2002-2005,2,90,132,116,77,46,15,2,26,Survey,DHS,Colombia 2005 Demographic and Health Survey,,,,,
Colombia,170,Latest,2008,2007-2010,2,84,122,100,70,38,12,2,26,Survey,DHS,Colombia 2010 Demographic and Health Survey,,,,,
Comoros,174,Around 1970,1966,,5,107,269,274,228,169,75,59,29,Census,National statistics,,,,,,
Comoros,174,Around 1985,1980,1979-1980,5,88,249,268,225,148,71,63,30,Census,National statistics,,,,,,
Comoros,174,Around 1995,1994,1993-1996,4,59,184,223,226,147,67,25,30,Survey,DHS,Comoros 1996 Demographic and Health Survey,,,,,
Comoros,174,Latest,2003,,5,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Congo,178,Around 1970,1974,1973-1974,6,156,305,305,255,203,122,52,29,Census,National statistics,,,,,,
Congo,178,Around 1985,1984,,5,138,250,267,240,176,89,28,29,Census,National statistics,,,,,,
Congo,178,Around 2005,2004,2002-2005,4,129,221,200,185,134,69,21,28,Survey,DHS,Congo 2005 Demographic and Health Survey,,,,,
Congo,178,Latest,2010,2009-2012,5,147,222,232,205,145,61,9,28,Survey,DHS,Congo 2011-2012 Demographic and Health Survey,,,Preliminary data.,,
Cook Islands,184,Around 1970,1971,,6,103,352,305,247,146,83,3,28,Registration,UNSD,,,,,,
Cook Islands,184,Around 1985,1982,,3,81,195,202,115,101,38,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cook Islands,184,Around 1995,1996,,3,82,205,185,134,96,30,6,28,Census,National statistics,,,,Adjusted estimate.,,
Cook Islands,184,Latest,2001,,3,47,161,153,122,94,40,..,28,Census,National statistics,,,,,,
Costa Rica,188,Around 1970,1970,,4,103,237,231,188,144,69,12,29,Registration,UNSD,,,,,,
Costa Rica,188,Around 1985,1984,,3,94,192,182,131,77,27,0,27,Registration,UNSD,,,,,,
Costa Rica,188,Around 1995,1995,,2,85,149,134,98,56,18,2,27,Registration,UNSD,,,,,,
Costa Rica,188,Around 2005,2004,,2,67,112,99,73,37,10,1,26,Registration,UNSD,,,,,,
Costa Rica,188,Latest,2009,,1,67,105,95,67,36,9,1,26,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Côte d'Ivoire,384,..,1978,1975-1981,7,216,313,300,248,203,132,60,29,Survey,WFS,Côte d'Ivoire 1980-1981 World Fertility Survey,,,,,
Côte d'Ivoire,384,Around 1985,1988,1987-1988,6,193,289,289,252,193,98,38,29,Census,National statistics,,,,,,
Côte d'Ivoire,384,..,1993,1991-1994,5,140,232,231,210,149,73,25,29,Survey,DHS,Cote d'Ivoire 1994 Demographic and Health Survey,,,,,
Côte d'Ivoire,384,Around 1995,1997,1995-1998,5,127,222,223,199,149,79,37,29,Survey,DHS,Côte d'Ivoire 1998-1999 Demographic and Health Survey,,,,,
Côte d'Ivoire,384,Latest,2010,2009-2012,4,128,220,224,179,140,77,25,29,Survey,DHS-MICS,Côte d'Ivoire 2011-2012 Demographic and Health Survey,,,,,
Croatia,191,Around 1970,1970,,1,47,134,97,53,22,6,1,26,Registration,UNSD,,,,,,
Croatia,191,Around 1985,1985,,1,38,149,109,48,17,3,0,25,Registration,National statistics,,,,,,
Croatia,191,Around 1995,1995,,1,18,95,101,57,21,4,0,27,Registration,UNSD,,,,,,
Croatia,191,Around 2005,2005,,1,14,66,98,73,28,5,0,28,Registration,UNSD,,,,,,
Croatia,191,Latest,2010,,1,12,55,100,85,36,6,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cuba,192,Around 1970,1970,,3,128,228,165,117,74,26,0,26,Registration,UNSD,,,,,,
Cuba,192,Around 1985,1985,,1,91,124,93,47,18,4,1,24,Registration,UNSD,,,,,,
Cuba,192,Around 1995,1995,,1,59,91,79,47,17,2,0,25,Registration,UNSD,,,,,,
Cuba,192,Around 2005,2005,,1,40,85,74,49,20,4,0,26,Registration,UNSD,,,,,,
Cuba,192,Latest,2010,,1,52,107,94,55,24,5,0,26,Registration,UNSD,,,,,,
Cyprus,196,Around 1970,1970,,2,21,150,181,113,60,19,4,28,Registration,UNSD,,,,,,
Cyprus,196,Around 1985,1985,,2,34,159,154,91,33,5,0,26,Registration,UNSD,,,,,,
Cyprus,196,Around 1995,1995,,2,17,113,135,90,39,7,0,28,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Cyprus,196,Around 2005,2005,,1,6,46,102,86,33,6,0,29,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Cyprus,196,Latest,2008,,1,6,40,97,95,44,7,1,30,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Czech Republic,203,Around 1970,1970,,2,46,180,114,52,19,4,0,25,Registration,National statistics,,,,,,
Czech Republic,203,Around 1985,1985,,2,53,193,109,42,13,2,0,24,Registration,UNSD,,,,,,
Czech Republic,203,Around 1995,1995,,1,25,100,81,35,11,2,0,25,Registration,UNSD,,,,,,
Czech Republic,203,Around 2005,2005,,1,11,48,99,74,23,4,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Czech Republic,203,Latest,2010,,1,11,46,96,91,43,6,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Democratic People's Republic of Korea,408,Around 1970,1971,,6,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 1985,1985,,2,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 1995,1994,1993-1994,2,0,49,265,101,19,3,1,28,Census,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 2005,2003,,2,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Latest,2008,,2,1,59,210,110,18,3,0,28,Census,National statistics,,,,,,
Democratic Republic of the Congo,180,Around 1970,1973,1971-1976,6,161,301,289,248,164,68,14,28,Survey,National statistics,Democratic Republic of the Congo 1975-1976 EDOZA,Data pertain to the west of the country.,,,,
Democratic Republic of the Congo,180,Around 1985,1984,,6,94,277,312,291,209,118,39,30,Census,National statistics,,,,,,
Democratic Republic of the Congo,180,Around 1995,1994,,7,125,309,334,274,221,140,50,30,Survey,MICS,Democratic Republic of the Congo 1995 Multiple Indicator Cluster Survey,,,,,
Democratic Republic of the Congo,180,Around 2005,2001,2000-2001,7,117,271,342,302,227,122,33,30,Survey,MICS,Democratic Republic of the Congo 2001 Multiple Indicator Cluster Survey,,,,,
Democratic Republic of the Congo,180,Latest,2005,2004-2007,6,124,260,271,270,201,95,37,29,Survey,DHS,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,,,
Denmark,208,Around 1970,1970,,1,33,133,130,66,25,5,0,26,Registration,UNSD,,,,,,
Denmark,208,Around 1985,1985,,1,10,76,118,64,18,3,0,27,Registration,UNSD,,,,,,
Denmark,208,Around 1995,1995,,1,9,62,140,109,38,5,0,29,Registration,UNSD,,,,,,
Denmark,208,Around 2005,2005,,1,6,44,126,127,49,8,0,30,Registration,UNSD,,,,,,
Denmark,208,Latest,2010,,1,5,43,123,134,59,10,0,30,Registration,UNSD,,,,,,
Djibouti,262,..,1991,,5,31,155,270,317,257,121,44,32,Survey,National statistics,Djibouti 1991 Intercensal Survey,,,,,
Djibouti,262,Around 1995,1995,1992-1997,5,33,149,242,270,207,115,..,31,Survey,PAPFAM,Djibouti 2002 Family Health Survey,,,Data pertain to the period of 5 to 9 years before the survey.,,
Djibouti,262,Latest,2000,1997-2002,4,27,114,176,211,167,97,53,32,Survey,PAPFAM,Djibouti 2002 Family Health Survey,,,,,
Dominica,212,Around 1970,1969,,5,154,283,246,157,169,68,19,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1985,1985,,2,96,158,152,106,57,16,2,26,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1995,1995,,2,54,166,114,117,62,19,2,27,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 2005,2003,,2,48,111,75,89,70,25,1,28,Registration,CARICOM,,,,,,
Dominica,212,Latest,2006,,2,48,75,115,128,57,28,2,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominican Republic,214,Around 1970,1969,,6,76,265,296,269,203,92,40,30,Census,National statistics,,,,,,
Dominican Republic,214,..,1990,1988-1991,3,88,210,175,116,57,12,11,26,Survey,DHS,Dominican Republic 1991 Demographic and Health Survey,,,,,
Dominican Republic,214,Around 1995,1995,1993-1996,3,112,199,157,111,39,14,1,26,Survey,DHS,Dominican Republic 1996 Demographic and Health Survey,,,,,
Dominican Republic,214,Around 2005,2001,1999-2002,2,116,190,145,97,41,8,1,25,Survey,DHS,Dominican Republic 2002 Demographic and Health Survey,,,,,
Dominican Republic,214,Latest,2005,2004-2007,2,92,152,132,69,33,8,1,25,Survey,DHS,Dominican Republic 2007 Demographic and Health Survey,,,,,
Ecuador,218,Around 1970,1970,,5,83,274,285,225,199,89,25,29,Registration,UNSD,,,,,,
Ecuador,218,Around 1985,1985,1984-1987,4,89,214,208,157,99,59,22,28,Survey,DHS,Ecuador 1987 Demographic and Health Survey,,,,,
Ecuador,218,Around 1995,1997,1994-1999,3,89,172,155,119,76,37,10,28,Survey,RHS,Ecuador 1999 Encuesta Demográfica y de Salud Materna e Infantil,,,,,
Ecuador,218,Around 2005,2001,,2,92,151,132,103,63,23,5,27,Census,National statistics,,,,,,
Ecuador,218,Latest,2003,2001-2004,3,100,174,143,121,68,26,3,27,Survey,RHS,Ecuador 2004 Encuesta Demográfica y de Salud Materna e Infantil,,,,,
Egypt,818,..,1978,1975-1980,5,99,256,285,217,130,48,16,28,Survey,WFS,Egypt 1980 World Fertility Survey,,,,,
Egypt,818,Around 1985,1987,1985-1988,4,75,227,247,188,121,43,6,28,Survey,DHS,Egypt 1988 Demographic and Health Survey,,,,,
Egypt,818,Around 1995,1994,1992-1995,3,61,200,210,140,81,27,7,28,Survey,DHS,Egypt 1995 Demographic and Health Survey,,,,,
Egypt,818,Around 2005,2003,2002-2005,3,48,175,194,125,63,19,2,27,Survey,DHS,Egypt 2005 Demographic and Health Survey,,,,,
Egypt,818,Latest,2006,2005-2008,3,50,169,185,122,59,17,2,27,Survey,DHS,Egypt 2008 Demographic and Health Survey,,,,,
El Salvador,222,Around 1970,1971,,6,148,301,281,233,173,72,19,28,Registration,UNSD,,,,,,
El Salvador,222,Around 1985,1983,1982-1985,4,134,240,198,134,92,41,4,27,Survey,DHS,El Salvador 1985 Demographic and Health Survey,,,,,
El Salvador,222,Around 1995,1996,1993-1998,3,116,211,167,118,68,29,8,27,Survey,RHS,El Salvador 1998 Encuesta Nacional de Salud Familiar,,,,,
El Salvador,222,Around 2005,2001,2000-2003,2,102,156,136,82,60,25,1,26,Survey,RHS,El Salvador 2002-2003 Encuesta Nacional de Salud Familiar,,,,,
El Salvador,222,Latest,2007,2005-2008,2,89,134,117,81,51,18,2,26,Survey,RHS,El Salvador 2008 Encuesta Nacional de Salud Familiar,,,,,
Equatorial Guinea,226,..,1965,,4,..,..,..,..,..,..,..,..,Estimate,National statistics,,,,,,
Equatorial Guinea,226,Around 1985,1983,1982-1983,5,185,298,274,198,143,59,34,28,Census,National statistics,,,,Adjusted estimate.,,
Equatorial Guinea,226,Around 1995,1994,,5,113,224,233,220,170,93,48,30,Census,National statistics,,,,,,
Equatorial Guinea,226,Around 2005,2000,1999-2000,5,196,256,252,208,187,54,31,28,Survey,MICS,Equatorial Guinea 2000 Multiple Indicator Cluster Survey,,,,,
Equatorial Guinea,226,Latest,2001,,5,128,260,254,164,155,109,52,29,Census,National statistics,,,,,,
Eritrea,232,Around 1995,1994,1992-1995,6,125,245,269,245,189,110,37,30,Survey,DHS,Eritrea 1995 Demographic and Health Survey,,,,,
Eritrea,232,Latest,2000,1999-2002,4,77,185,204,188,167,88,46,30,Survey,DHS,Eritrea 2002 Demographic and Health Survey,,,,,
Estonia,233,Around 1970,1970,,2,33,159,131,73,30,7,0,26,Registration,Eurostat,,,,,,
Estonia,233,Around 1985,1986,,2,42,180,121,61,26,5,0,25,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Around 1995,1995,,1,36,101,74,35,14,3,0,25,Registration,UNSD,,,,,,
Estonia,233,Around 2005,2005,,1,21,72,97,71,33,6,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Latest,2010,,1,18,60,105,88,46,10,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ethiopia,231,Around 1970,1969,,5,163,287,264,188,150,64,34,28,Survey,National statistics,Ethiopia 1968-1971 National Sample Survey - Rural,,,,,
Ethiopia,231,Around 1985,1981,,6,115,273,299,264,225,124,65,30,Survey,National statistics,Ethiopia 1981 Demographic Survey,Excluding Eritrea and Tigray.,,,,
Ethiopia,231,Around 1995,1999,1997-2000,5,100,235,251,243,168,89,19,29,Survey,DHS,Ethiopia 2000 Demographic and Health Survey,,,,,
Ethiopia,231,Around 2005,2003,2002-2005,5,104,228,241,231,160,84,34,29,Survey,DHS,Ethiopia 2005 Demographic and Health Survey,,,,,
Ethiopia,231,Latest,2010,2008-2011,4,79,207,237,192,150,68,28,29,Survey,DHS,Ethiopia 2011 Demographic and Health Survey,,,,,
Faroe Islands,234,Around 1970,1970,,3,75,211,168,122,78,27,3,27,Registration,UNSD,,,,,,
Faroe Islands,234,Around 1985,1985,,2,34,118,156,93,46,8,0,27,Registration,UNSD,,,,,,
Faroe Islands,234,Around 1995,1995,,2,22,112,171,124,47,8,2,28,Registration,National statistics,,,,,,
Faroe Islands,234,Around 2005,2005,,2,13,95,190,138,74,12,1,29,Registration,National statistics,,,,,,
Faroe Islands,234,Latest,2007,,2,10,83,161,154,83,14,0,30,Registration,UNSD,,,,,,
Fiji,242,Around 1970,1972,1969-1974,4,61,247,225,165,92,45,10,28,Survey,WFS,Fiji 1974 World Fertility Survey,,,,,
Fiji,242,Around 1985,1985,,3,59,224,176,99,51,17,3,26,Registration,UNSD,,,,,,
Fiji,242,Around 1995,1995,,2,52,203,173,100,50,12,..,26,Registration,National statistics,,,,,,
Fiji,242,Around 2005,2004,,2,31,148,156,111,58,16,2,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Latest,2004,,2,31,148,156,111,58,16,2,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 1970,1970,,1,33,120,105,65,31,9,1,27,Registration,UNSD,,,,,,
Finland,246,Around 1985,1985,,1,14,77,122,78,33,6,0,28,Registration,UNSD,,,,,,
Finland,246,Around 1995,1995,,1,10,66,130,105,42,8,0,29,Registration,UNSD,,,,,,
Finland,246,Around 2005,2005,,1,10,57,116,113,51,11,1,29,Registration,UNSD,,,,,,
Finland,246,Latest,2010,,1,8,57,117,121,59,12,1,30,Registration,UNSD,,,,,,
France,250,Around 1970,1970,,2,26,157,157,93,45,14,1,27,Registration,UNSD,,,,,,
France,250,Around 1985,1985,,1,12,97,143,79,30,6,0,28,Registration,UNSD,,,,,,
France,250,Around 1995,1995,,1,7,55,130,100,40,8,0,29,Registration,UNSD,,,,,,
France,250,Around 2005,2005,,1,8,55,129,121,56,13,1,30,Registration,UNSD,,Data exclude overseas departments.,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,,,
France,250,Latest,2009,,2,12,63,138,128,60,12,1,29,Registration,UNSD,,Data include overseas departments.,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Guiana,254,Around 1970,1970,,5,138,309,204,184,114,52,4,27,Registration,UNSD,,,,,,
French Guiana,254,Around 1985,1985,,3,84,197,179,124,68,22,3,27,Registration,UNSD,,,,,,
French Guiana,254,Around 1995,1995,,3,64,216,187,150,81,21,,27,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
French Guiana,254,Around 2005,2003,,4,104,202,237,144,85,27,2,27,Registration,UNSD,,,,,,
French Guiana,254,Latest,2007,,3,84,177,212,167,99,40,4,28,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Polynesia,258,Around 1970,1968,,6,109,379,353,249,156,79,11,28,Registration,UNSD,,,,,,
French Polynesia,258,Around 1985,1985,,3,99,244,193,125,73,26,2,26,Registration,National statistics,,,,,,
French Polynesia,258,Around 1995,1995,,2,62,157,154,112,50,15,1,27,Registration,National statistics,,,,,,
French Polynesia,258,Around 2005,2005,,2,52,109,115,92,49,14,1,27,Registration,National statistics,,,,,,
French Polynesia,258,Latest,2010,,2,41,103,114,90,58,19,1,28,Registration,National statistics,,,,,,
Gabon,266,Around 1970,1970,,4,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Gabon,266,Around 1995,1993,,5,160,236,225,198,135,60,20,28,Census,National statistics,,,,,,
Gabon,266,Latest,1999,1997-2000,4,142,196,177,172,100,48,8,27,Survey,DHS,Gabon 2000 Demographic and Health Survey,,,,,
Gambia,270,Around 1970,1973,,6,200,300,290,210,160,70,40,28,Census,National statistics,,,,,,
Gambia,270,Around 1985,1988,1986-1990,5,167,270,238,228,130,78,,28,Survey,National statistics,Gambia 1990 Contraceptive Prevalence and Fertility Determinants Survey,,Data shown for women aged 40 to 44 pertain to women aged 40 to 49.,,,
Gambia,270,Around 1995,1993,,6,167,272,276,221,159,75,38,28,Census,National statistics,,,,,,
Gambia,270,Around 2005,2000,1999-2000,5,104,225,234,194,166,72,63,30,Survey,MICS,Gambia 2000 Multiple Indicator Cluster Survey,,,,,
Gambia,270,Latest,2010,2009-2010,5,118,..,..,..,..,..,..,..,Survey,MICS ,Gambia 2010 Multiple Indicator Cluster Survey,,,,,
Georgia,268,Around 1970,1970,,2,36,190,155,94,46,12,2,27,Registration,Eurostat,,,,,,
Georgia,268,Around 1985,1985,,2,49,184,125,63,26,5,1,25,Registration,National statistics,,,,,,
Georgia,268,Around 1995,1995,,1,64,113,66,42,17,4,1,25,Registration,National statistics,,,,,,
Georgia,268,Around 2005,2005,,1,38,97,75,44,18,4,0,26,Registration,National statistics,,,,,,
Georgia,268,Latest,2011,,1,42,112,95,57,25,6,0,26,Registration,National statistics,,,,,,
Germany,276,Around 1970,1970,,2,46,138,107,72,36,9,1,26,Registration,UNSD,,,,,,
Germany,276,Around 1985,1985,,1,16,80,102,57,20,3,0,27,Registration,UNSD,,,,,,
Germany,276,Around 1995,1995,,1,10,52,85,71,27,4,0,28,Registration,UNSD,,,,,,
Germany,276,Around 2005,2005,,1,10,48,83,84,36,6,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Latest,2010,,1,9,38,81,90,47,8,0,30,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ghana,288,Around 1970,1968,1968-1969,7,160,314,308,275,193,107,50,29,Survey,National statistics,Ghana 1968-1969 National Demographic Sample Survey,,,,,
Ghana,288,Around 1985,1986,1985-1988,6,125,260,280,249,189,117,61,30,Survey,DHS,Ghana 1988 Demographic and Health Survey,,,,,
Ghana,288,Around 1995,1997,1995-1998,4,88,197,203,177,136,74,11,29,Survey,DHS,Ghana 1998 Demographic and Health Survey,,,,,
Ghana,288,Around 2005,2002,2000-2003,4,74,176,210,182,141,70,36,30,Survey,DHS,Ghana 2003 Demographic and Health Survey,,,,,
Ghana,288,Latest,2007,2005-2008,4,66,176,206,173,118,59,8,29,Survey,DHS,Ghana 2008 Demographic and Health Survey,,,,,
Gibraltar,292,Around 1970,1970,,2,59,208,185,91,33,12,0,26,Registration,UNSD,,,,,,
Gibraltar,292,Around 1985,1980,,3,60,233,196,82,38,11,0,26,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Around 1995,1997,,2,21,106,159,116,50,4,1,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Around 2005,2002,,2,27,67,137,123,44,10,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Latest,2002,,2,27,67,137,123,44,10,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1970,1970,,2,37,146,155,95,43,9,1,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1985,1985,,1,36,118,102,54,19,4,0,26,Registration,UNSD,,,,,,
Greece,300,Around 1995,1995,,1,13,63,97,63,24,4,0,28,Registration,UNSD,,,,,,
Greece,300,Around 2005,2005,,1,10,42,83,85,39,7,1,29,Registration,UNSD,,,,,,
Greece,300,Latest,2009,,1,12,46,86,99,50,10,1,30,Registration,UNSD,,,,,,
Greenland,304,Around 1970,1970,,3,114,205,164,105,68,36,3,27,Registration,UNSD,,,,,,
Greenland,304,Around 1985,1985,,2,75,130,114,84,33,9,2,26,Registration,UNSD,,,,,,
Greenland,304,Around 1995,1995,,2,72,160,135,92,37,11,0,26,Registration,National statistics,,,,,,
Greenland,304,Around 2005,2005,,2,66,147,118,90,38,7,1,26,Registration,UNSD,,,,,,
Greenland,304,Latest,2011,,2,41,104,117,98,49,5,0,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1970,1969,,4,126,247,222,172,112,42,5,27,Registration,National statistics,,,,,,
Grenada,308,Around 1985,1985,,3,115,174,178,127,78,32,5,27,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1995,1997,,3,71,134,156,129,76,35,0,28,Registration,UNSD,,,,,,
Grenada,308,Latest,2000,,2,53,107,133,114,64,27,1,28,Registration,UNSD,,,,,,
Guadeloupe,312,Around 1970,1970,,4,65,197,232,209,139,64,8,29,Registration,UNSD,,,,,,
Guadeloupe,312,Around 1985,1985,,2,36,122,170,111,55,19,2,28,Registration,UNSD,,,,,,
Guadeloupe,312,Around 1995,1995,,2,17,92,120,107,59,9,,29,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Guadeloupe,312,Around 2005,2003,,2,25,81,133,109,65,19,0,29,Registration,UNSD,,,,,,
Guadeloupe,312,Latest,2004,,2,20,76,148,122,69,23,1,29,Registration,National statistics,,,,,,
Guam,316,Around 1970,1970,,4,95,280,266,161,103,41,2,27,Registration,UNSD,,,,,,
Guam,316,Around 1985,1985,,3,80,198,154,105,60,14,0,26,Registration,UNSD,,,,,,
Guam,316,Around 1995,1992,,3,110,217,201,124,61,17,1,26,Registration,UNSD,,,,,,
Guam,316,Around 2005,2003,,2,53,148,144,115,63,15,1,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guam,316,Latest,2004,,2,52,146,159,119,63,17,2,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Around 1970,1970,,5,133,279,261,217,172,70,17,28,Registration,UNSD,,,,,,
Guatemala,320,Around 1985,1985,,5,123,274,271,226,183,82,19,29,Registration,UNSD,,,,,,
Guatemala,320,Around 1995,1995,,4,115,232,214,179,143,66,13,28,Registration,UNSD,,,,,,
Guatemala,320,Around 2005,2004,,3,100,194,181,146,109,54,11,28,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Latest,2006,,3,92,174,167,131,96,46,10,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guinea,324,Around 1985,1983,1982-1983,5,161,267,269,211,149,72,39,28,Census,National statistics,,,,,,
Guinea,324,Around 1995,1996,1995-1996,5,158,283,280,216,150,71,34,28,Census,National statistics,,,,,,
Guinea,324,..,1997,1996-1999,5,168,238,246,214,144,69,26,28,Survey,DHS,Guinea 1999 Demographic and Health Survey,,,,,
Guinea,324,Around 2005,2003,2002-2005,5,154,240,247,226,169,85,20,29,Survey,DHS,Guinea 2005 Demographic and Health Survey,,,,,
Guinea,324,Latest,2010,2009-2012,5,146,207,224,198,139,73,32,29,Survey,DHS,Guinea 2012 Demographic and Health Survey,,,Preliminary data.,,
Guinea-Bissau,624,..,1979,,6,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Guinea-Bissau,624,Around 1995,1991,,6,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Guinea-Bissau,624,Latest,2000,,7,170,302,328,288,210,144,30,29,Survey,MICS,Guinea-Bissau 2000 Multiple Indicator Cluster Survey,,,,,
Guyana,328,Around 1970,1972,1970-1975,4,114,283,242,184,112,42,..,27,Survey,WFS,Guyana 1975 World Fertility Survey,,,,,
Guyana,328,Around 1985,1986,,2,67,155,131,105,49,14,5,27,Survey,National statistics,Guyana 1986 Retrospective Demographic Survey,,,,,
Guyana,328,Around 1995,1991,,2,58,133,121,82,52,18,8,27,Census,National statistics,,,,,,
Guyana,328,Around 2005,2002,,3,84,197,179,134,90,39,20,28,Census,National statistics,,,,,,
Guyana,328,Latest,2007,2006-2009,2,101,163,116,102,55,13,4,26,Survey,DHS,Guyana 2009 Demographic and Health Survey,,,,,
Haiti,332,Around 1970,1971,,5,37,198,272,258,201,116,59,31,Census,National statistics,,,,,,
Haiti,332,Around 1985,1986,1985-1987,6,88,270,308,281,197,115,20,30,Survey,National statistics,"Haiti 1987 Enquête Mortalité, Morbidité et Utilisation des Services",,,,,
Haiti,332,Around 1995,1993,1991-1994,4,76,179,233,206,166,78,19,30,Survey,DHS,Haiti 1994-1995 Demographic and Health Survey,,,,,
